Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant (p<0.01)
Replay,status_change_violation_on_heartbeat,0.9507458204024427,0.2164090890799272,0.0,0.0,0.9507458204024427,0.0,True
Replay,sq_inc_expected,0.9501750875437719,0.2175939512860171,0.0,0.0,0.9501750875437719,0.0,True
Replay,boolean_1,0.051370994383878425,0.2207715248991141,1.0,0.0,0.9486290056161216,0.0,True
Replay,heartbeat_within_tol,0.6835417708854428,0.46511725679510824,0.0,0.0,0.6835417708854428,6.626359629114584e-48,True
Replay,heartbeat_interval_error,0.12300803725379808,0.34044185972028757,0.7294206070899963,0.4684761616086613,0.6064125698361983,9.50820899535733e-47,True
Replay,inter_arrival,1.0635153472047632,0.7373653375013954,0.7344206070899963,0.4679792812135451,0.3290947401147668,1.2800788012464996e-06,True
Replay,Time delta from previous displayed frame,0.17558004392196097,0.2512542838649233,0.28646446,0.2489956464626276,0.110884416078039,1.5947664630117578e-10,True
Replay,sq_reset_without_st_change,0.03921960980490245,0.19412676893488462,0.0,0.0,0.03921960980490245,0.043398914678955035,False
Replay,jitter_rolling_std,0.32382190951777406,0.34559789407113517,0.35292382093980845,0.21052796987549313,0.029101911422034388,0.008123399832801038,True
Replay,sq_reset_violation,0.010005002501250625,0.09952835531191175,0.0,0.0,0.010005002501250625,0.31485299330126226,False
Replay,sq_inc_violation_when_no_event,0.0006003001500750375,0.024494893749551883,0.0,0.0,0.0006003001500750375,0.8067177759048897,False
Replay,Time delta from previous captured frame,0.00010016828414207103,8.722866041689611e-05,9.847999999999999e-05,8.630969373322578e-05,1.6882841420710388e-06,0.8569019855405023,False
Replay,Time shift for this packet,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,status_bit_change,1.0,0.0,1.0,0.0,0.0,1.0,False
Replay,t_st_consistency_violation,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,status_change_missing_on_event,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,stNum_jump_gt1,0.0,0.0,0.0,0.0,0.0,1.0,False
